gene,origin_mechanism,parental_gene
YKR105C,DNA-based duplication like,YPR198W
YKR106W,DNA-based duplication like,YEL065W
YKR106W,DNA-based duplication like,YHL040C
YKR106W,DNA-based duplication,YCL073C
YKR106W,DNA-based duplication like,YOL158C
YKR106W,DNA-based duplication like,YHL047C
YLL067C,DNA-based duplication,YIL177C
YLL067C,DNA-based duplication like,YLR462W
YLL067C,DNA-based duplication,YHL050C
YLL067C,DNA-based duplication,YDR545W
YLL067C,DNA-based duplication,YHR219W
YLL067C,DNA-based duplication,YBL112C
YLL067C,DNA-based duplication,YEL077C
YLL067C,DNA-based duplication,YFL066C
YLL067C,DNA-based duplication,YHR218W-A
YLL067C,DNA-based duplication,YLL066C
YLL067C,DNA-based duplication,YBL111C
YLL067C,DNA-based duplication,YER190W
YLL067C,DNA-based duplication,YML133C
YLL067C,DNA-based duplication,YJL225C
YLL067C,DNA-based duplication,YLR467W
YLL067C,DNA-based duplication,YPL283C
YLL067C,DNA-based duplication,YPR204W
YLL067C,DNA-based duplication,YBL113C
YLL067C,DNA-based duplication,YLR466W
YLL067C,DNA-based duplication,YOR396W
YLL067C,DNA-based duplication,YGR296W
YLL067C,DNA-based duplication,YNL339C
YLL067C,DNA-based duplication,YHR218W
YLL066C,DNA-based duplication,YIL177C
YLL066C,DNA-based duplication like,YLR462W
YLL066C,DNA-based duplication,YHL050C
YLL066C,DNA-based duplication,YDR545W
YLL066C,DNA-based duplication,YHR219W
YLL066C,DNA-based duplication,YBL112C
YLL066C,DNA-based duplication,YEL077C
YLL066C,DNA-based duplication,YFL066C
YLL066C,DNA-based duplication,YHR218W-A
YLL066C,DNA-based duplication,YBL111C
YLL066C,DNA-based duplication,YER190W
YLL066C,DNA-based duplication,YML133C
YLL066C,DNA-based duplication,YJL225C
YLL066C,DNA-based duplication,YLR467W
YLL066C,DNA-based duplication,YPL283C
YLL066C,DNA-based duplication,YPR204W
YLL066C,DNA-based duplication,YBL113C
YLL066C,DNA-based duplication,YLR466W
YLL066C,DNA-based duplication,YOR396W
YLL066C,DNA-based duplication,YGR296W
YLL066C,DNA-based duplication,YLL067C
YLL066C,DNA-based duplication,YNL339C
YLL066C,DNA-based duplication,YHR218W
YLL067W-A,DNA-based duplication,YFL068W
YLL067W-A,DNA-based duplication,YHR219C-A
YLL067W-A,DNA-based duplication,YGR296C-B
YLL067W-A,DNA-based duplication,YLR466C-A
YLL067W-A,DNA-based duplication,YOR396C-A
YLL067W-A,DNA-based duplication,YJL225W-A
YLL067W-A,DNA-based duplication,YER190C-B
YLL067W-A,DNA-based duplication,YLR467C-A
YLL067W-A,DNA-based duplication,YDR545C-A
YLL067W-A,DNA-based duplication,YBL113W-A
YLL067W-A,DNA-based duplication,YHL050W-A
YLL067W-A,DNA-based duplication,YML133W-B
YLL067W-A,DNA-based duplication,YPL283W-B
YLL067W-A,DNA-based duplication,YLL066W-A
YLL067W-A,DNA-based duplication,YNL339W-B
YLL067W-A,DNA-based duplication,YEL077W-A
YLL067W-A,DNA-based duplication,YPR204C-A
YLL067W-A,DNA-based duplication,YIL177W-A
YLL066W-A,DNA-based duplication,YFL068W
YLL066W-A,DNA-based duplication,YHR219C-A
YLL066W-A,DNA-based duplication,YGR296C-B
YLL066W-A,DNA-based duplication,YLR466C-A
YLL066W-A,DNA-based duplication,YLL067W-A
YLL066W-A,DNA-based duplication,YJL225W-A
YLL066W-A,DNA-based duplication,YOR396C-A
YLL066W-A,DNA-based duplication,YLR467C-A
YLL066W-A,DNA-based duplication,YDR545C-A
YLL066W-A,DNA-based duplication,YBL113W-A
YLL066W-A,DNA-based duplication,YHL050W-A
YLL066W-A,DNA-based duplication,YML133W-B
YLL066W-A,DNA-based duplication,YPL283W-B
YLL066W-A,DNA-based duplication,YER190C-B
YLL066W-A,DNA-based duplication,YNL339W-B
YLL066W-A,DNA-based duplication,YEL077W-A
YLL066W-A,DNA-based duplication,YPR204C-A
YLL066W-A,DNA-based duplication,YIL177W-A
YLL065W,DNA-based duplication,YDR543C
YLL065W,DNA-based duplication,YER188C-A
YLL065W,DNA-based duplication,YJR162C
YLL065W,DNA-based duplication,YOL166W-A
YLL065W,DNA-based duplication,YAL068W-A
YLL065W,DNA-based duplication,YNR077C
YLL065W,DNA-based duplication,YNL337W
YLL065W,DNA-based duplication like,YFL063W
YLL065W,DNA-based duplication,YMR326C
YLL065W,DNA-based duplication,YKL225W
YLL064C,DNA-based duplication,YLR461W
YLL064C,DNA-based duplication,YMR325W
YLL064C,DNA-based duplication,YIR041W
YLL064C,DNA-based duplication,YLR037C
YLL064C,DNA-based duplication,YGR294W
YLL064C,DNA-based duplication,YIL176C
YLL064C,DNA-based duplication,YEL049W
YLL064C,DNA-based duplication,YKL224C
YLL064C,DNA-based duplication,YDR542W
YLL064C,DNA-based duplication like,YJR151C
YLL064C,DNA-based duplication like,YJR150C
YLL064C,DNA-based duplication,YHL046C
YLL064C,DNA-based duplication,YPL282C
YLL064C,DNA-based duplication,YBR301W
YLL064C,DNA-based duplication,YFL020C
YLL064C,DNA-based duplication,YAR020C
YLL064C,DNA-based duplication,YLL025W
YLL064C,DNA-based duplication,YBL108C-A
YLL064C,DNA-based duplication,YJL223C
YLL064C,DNA-based duplication,YCR104W
YLL064C,DNA-based duplication,YNR076W
YLL064C,DNA-based duplication,YOL161C
YLL064C,DNA-based duplication,YOR394W
YLL064C,DNA-based duplication,YAL068C
YLL064C,DNA-based duplication,YGL261C
YLL025W,DNA-based duplication,YLR461W
YLL025W,DNA-based duplication,YMR325W
YLL025W,DNA-based duplication,YIR041W
YLL025W,DNA-based duplication,YLR037C
YLL025W,DNA-based duplication,YGR294W
YLL025W,DNA-based duplication,YIL176C
YLL025W,DNA-based duplication,YEL049W
YLL025W,DNA-based duplication,YLL064C
YLL025W,DNA-based duplication,YKL224C
YLL025W,DNA-based duplication,YDR542W
YLL025W,DNA-based duplication like,YJR151C
YLL025W,DNA-based duplication like,YJR150C
YLL025W,DNA-based duplication,YHL046C
YLL025W,DNA-based duplication,YPL282C
YLL025W,DNA-based duplication,YBR301W
YLL025W,DNA-based duplication,YFL020C
YLL025W,DNA-based duplication,YAR020C
YLL025W,DNA-based duplication,YBL108C-A
YLL025W,DNA-based duplication,YJL223C
YLL025W,DNA-based duplication,YCR104W
YLL025W,DNA-based duplication,YNR076W
YLL025W,DNA-based duplication,YOL161C
YLL025W,DNA-based duplication,YOR394W
YLL025W,DNA-based duplication,YAL068C
YLL025W,DNA-based duplication,YGL261C
YLL063C,de novo origination,YLL063C
YLL058W,DNA-based duplication like,YJR130C
YLL058W,DNA-based duplication like,YML082W
YLL057C,de novo origination,YLL057C
YLL056C,de novo origination,YLL056C
YLL054C,DNA-based duplication like,YOR363C
YLL054C,DNA-based duplication like,YAL051W
YLL054C,DNA-based duplication like,YCR106W
YLL053C,de novo origination,YLL053C
YLL049W,de novo origination,YLL049W
YLL048C,de novo origination,YLL048C
YLL046C,DNA-based duplication like,YHL034C
YLR011W,de novo origination,YLR011W
YLR012C,de novo origination,YLR012C
YLR013W,DNA-based duplication like,YIR013C
YIR013C,DNA-based duplication like,YLR013W
YLR254C,de novo origination,YLR254C
YLR273C,DNA-based duplication like,YOR178C
YLR312C,de novo origination,YLR312C
YLR334C,DNA-based duplication,YGR122C-A
YLR334C,DNA-based duplication like,YOL106W
YLR334C,DNA-based duplication,YPR002C-A
YLR334C,DNA-based duplication,YCR018C-A
YLR334C,DNA-based duplication,YDR034C-A
YLR334C,DNA-based duplication,YMR046W-A
YLR339C,de novo origination,YLR339C
YJR149W,de novo origination,YJR149W
YJR150C,DNA-based duplication,YLR461W
YJR150C,DNA-based duplication,YMR325W
YJR150C,DNA-based duplication,YIR041W
YJR150C,DNA-based duplication,YLR037C
YJR150C,DNA-based duplication,YGR294W
YJR150C,DNA-based duplication,YIL176C
YJR150C,DNA-based duplication,YEL049W
YJR150C,DNA-based duplication,YLL064C
YJR150C,DNA-based duplication,YKL224C
YJR150C,DNA-based duplication,YDR542W
YJR150C,DNA-based duplication like,YJR151C
YJR150C,DNA-based duplication,YHL046C
YJR150C,DNA-based duplication like,YPL282C
YJR150C,DNA-based duplication,YBR301W
YJR150C,DNA-based duplication,YFL020C
YJR150C,DNA-based duplication,YAR020C
YJR150C,DNA-based duplication,YLL025W
YJR150C,DNA-based duplication,YBL108C-A
YJR150C,DNA-based duplication,YJL223C
YJR150C,DNA-based duplication,YCR104W
YJR150C,DNA-based duplication,YNR076W
YJR150C,DNA-based duplication,YOL161C
YJR150C,DNA-based duplication like,YOR394W
YJR150C,DNA-based duplication,YAL068C
YJR150C,DNA-based duplication,YGL261C
YJR151C,DNA-based duplication,YLR461W
YJR151C,DNA-based duplication,YMR325W
YJR151C,DNA-based duplication,YIR041W
YJR151C,DNA-based duplication,YLR037C
YJR151C,DNA-based duplication,YGR294W
YJR151C,DNA-based duplication,YIL176C
YJR151C,DNA-based duplication,YEL049W
YJR151C,DNA-based duplication,YLL064C
YJR151C,DNA-based duplication,YKL224C
YJR151C,DNA-based duplication,YDR542W
YJR151C,DNA-based duplication like,YJR150C
YJR151C,DNA-based duplication,YHL046C
YJR151C,DNA-based duplication,YPL282C
YJR151C,DNA-based duplication,YBR301W
YJR151C,DNA-based duplication,YFL020C
YJR151C,DNA-based duplication,YAR020C
YJR151C,DNA-based duplication,YLL025W
YJR151C,DNA-based duplication,YBL108C-A
YJR151C,DNA-based duplication,YJL223C
YJR151C,DNA-based duplication,YCR104W
YJR151C,DNA-based duplication,YNR076W
YJR151C,DNA-based duplication,YOL161C
YJR151C,DNA-based duplication,YOR394W
YJR151C,DNA-based duplication,YAL068C
YJR151C,DNA-based duplication,YGL261C
YJR153W,de novo origination,YJR153W
YJR154W,de novo origination,YJR154W
YJR155W,DNA-based duplication,YNL331C
YJR155W,DNA-based duplication,YCR107W
YJR155W,DNA-based duplication,YDL243C
YJR158W,DNA-based duplication,YMR011W
YJR158W,DNA-based duplication,YDL245C
YJR158W,DNA-based duplication,YDR342C
YJR158W,DNA-based duplication like,YHR096C
YJR158W,DNA-based duplication,YLR081W
YJR158W,DNA-based duplication,YHR094C
YJR158W,DNA-based duplication,YJL214W
YJR158W,DNA-based duplication,YOL156W
YJR158W,DNA-based duplication,YHR092C
YJR158W,DNA-based duplication,YFL011W
YJR158W,DNA-based duplication,YDR343C
YJR158W,DNA-based duplication,YJL219W
YJR158W,DNA-based duplication,YEL069C
YJR158W,DNA-based duplication,YDR345C
YJR159W,DNA-based duplication,YDL246C
YJR159W,DNA-based duplication,YLR070C
YJR160C,DNA-based duplication,YGR289C
YJR160C,DNA-based duplication,YBR298C
YJR161C,DNA-based duplication,YML132W
YJR161C,DNA-based duplication,YBR302C
YJR161C,DNA-based duplication like,YGL263W
YJR161C,DNA-based duplication,YHL048W
YJR161C,DNA-based duplication,YGR295C
YJR161C,DNA-based duplication like,YHL043W
YJR161C,DNA-based duplication like,YNR075W
YJR161C,DNA-based duplication,YNL336W
YJR161C,DNA-based duplication,YFL062W
YJR161C,DNA-based duplication like,YHL042W
YJR161C,DNA-based duplication,YKL219W
YJR161C,DNA-based duplication,YDL248W
YJR162C,DNA-based duplication,YDR543C
YJR162C,DNA-based duplication,YER188C-A
YJR162C,DNA-based duplication,YOL166W-A
YJR162C,DNA-based duplication,YAL068W-A
YJR162C,DNA-based duplication,YNR077C
YJR162C,DNA-based duplication,YNL337W
YJR162C,DNA-based duplication,YFL063W
YJR162C,DNA-based duplication,YMR326C
YJR162C,DNA-based duplication,YLL065W
YJR162C,DNA-based duplication,YKL225W
YKL225W,DNA-based duplication,YDR543C
YKL225W,DNA-based duplication,YJR162C
YKL225W,DNA-based duplication,YER188C-A
YKL225W,DNA-based duplication,YOL166W-A
YKL225W,DNA-based duplication,YAL068W-A
YKL225W,DNA-based duplication,YNR077C
YKL225W,DNA-based duplication,YNL337W
YKL225W,DNA-based duplication like,YFL063W
YKL225W,DNA-based duplication,YMR326C
YKL225W,DNA-based duplication,YLL065W
YKL224C,DNA-based duplication,YLR461W
YKL224C,DNA-based duplication,YMR325W
YKL224C,DNA-based duplication,YIR041W
YKL224C,DNA-based duplication,YLR037C
YKL224C,DNA-based duplication,YGR294W
YKL224C,DNA-based duplication,YIL176C
YKL224C,DNA-based duplication,YEL049W
YKL224C,DNA-based duplication,YLL064C
YKL224C,DNA-based duplication,YDR542W
YKL224C,DNA-based duplication like,YJR151C
YKL224C,DNA-based duplication like,YJR150C
YKL224C,DNA-based duplication,YHL046C
YKL224C,DNA-based duplication,YPL282C
YKL224C,DNA-based duplication,YBR301W
YKL224C,DNA-based duplication,YFL020C
YKL224C,DNA-based duplication,YAR020C
YKL224C,DNA-based duplication,YLL025W
YKL224C,DNA-based duplication,YBL108C-A
YKL224C,DNA-based duplication,YJL223C
YKL224C,DNA-based duplication,YCR104W
YKL224C,DNA-based duplication,YNR076W
YKL224C,DNA-based duplication,YOL161C
YKL224C,DNA-based duplication,YOR394W
YKL224C,DNA-based duplication,YAL068C
YKL224C,DNA-based duplication,YGL261C
YKL223W,DNA-based duplication,YJL222W-B
YKL223W,DNA-based duplication,YJL222W-A
YKL223W,DNA-based duplication,YNR075C-A
YKL223W,DNA-based duplication,YBL108W
YKL223W,DNA-based duplication,YIR040C
YKL223W,DNA-based duplication,YAL067W-A
YKL223W,DNA-based duplication,YGL260W
YKL222C,DNA-based duplication like,YOR172W
YKL222C,DNA-based duplication like,YOR162C
YKL222C,DNA-based duplication like,YLR266C
YKL221W,DNA-based duplication like,YNL125C
YKL220C,DNA-based duplication,YNR060W
YKL220C,DNA-based duplication,YOR381W
YKL220C,DNA-based duplication like,YOR384W
YKL220C,DNA-based duplication like,YLR214W
YKL220C,DNA-based duplication like,YLL051C
YKL219W,DNA-based duplication,YML132W
YKL219W,DNA-based duplication,YBR302C
YKL219W,DNA-based duplication like,YGL263W
YKL219W,DNA-based duplication,YHL048W
YKL219W,DNA-based duplication,YJR161C
YKL219W,DNA-based duplication,YGR295C
YKL219W,DNA-based duplication like,YHL043W
YKL219W,DNA-based duplication,YNL336W
YKL219W,DNA-based duplication like,YNR075W
YKL219W,DNA-based duplication,YFL062W
YKL219W,DNA-based duplication like,YHL042W
YKL219W,DNA-based duplication,YDL248W
YKL218C,DNA-based duplication like,YER086W
YKL217W,de novo origination,YKL217W
YKL161C,DNA-based duplication like,YHR030C
YKL161C,DNA-based duplication like,YBL016W
YKL161C,DNA-based duplication like,YGR040W
YJL185C,de novo origination,YJL185C
YJL164C,DNA-based duplication,YPL203W
YJL164C,DNA-based duplication,YKL166C
YJL161W,de novo origination,YJL161W
YJL160C,DNA-based duplication like,YKL163W
YJL160C,DNA-based duplication like,YKL164C
YJL160C,DNA-based duplication like,YJL159W
YJL160C,DNA-based duplication,YJL158C
YJL138C,DNA-based duplication,YKR059W
YJL138C,DNA-based duplication like,YOR046C
YJL138C,DNA-based duplication like,YGL171W
YJL133C-A,de novo origination,YJL133C-A
YJL107C,de novo origination,YJL107C
YMR192W,de novo origination,YMR192W
YMR206W,de novo origination,YMR206W
YMR207C,DNA-based duplication like,YBR218C
YMR207C,DNA-based duplication,YNR016C
YMR207C,DNA-based duplication like,YGL062W
YMR237W,DNA-based duplication like,YKR027W
YMR237W,DNA-based duplication like,YJL099W
YMR237W,DNA-based duplication,YOR299W
YPL202C,DNA-based duplication like,YGL071W
YPL197C,de novo origination,YPL197C
YPL191C,DNA-based duplication like,YGL082W
YPL163C,de novo origination,YPL163C
YPL142C,de novo origination,YPL142C
YLR461W,DNA-based duplication,YMR325W
YLR461W,DNA-based duplication,YLR037C
YLR461W,DNA-based duplication,YIR041W
YLR461W,DNA-based duplication,YGR294W
YLR461W,DNA-based duplication,YIL176C
YLR461W,DNA-based duplication,YEL049W
YLR461W,DNA-based duplication,YLL064C
YLR461W,DNA-based duplication,YKL224C
YLR461W,DNA-based duplication,YDR542W
YLR461W,DNA-based duplication like,YJR151C
YLR461W,DNA-based duplication like,YJR150C
YLR461W,DNA-based duplication,YHL046C
YLR461W,DNA-based duplication,YPL282C
YLR461W,DNA-based duplication,YBR301W
YLR461W,DNA-based duplication,YFL020C
YLR461W,DNA-based duplication,YAR020C
YLR461W,DNA-based duplication,YLL025W
YLR461W,DNA-based duplication,YBL108C-A
YLR461W,DNA-based duplication,YJL223C
YLR461W,DNA-based duplication,YCR104W
YLR461W,DNA-based duplication,YNR076W
YLR461W,DNA-based duplication,YOL161C
YLR461W,DNA-based duplication,YOR394W
YLR461W,DNA-based duplication,YAL068C
YLR461W,DNA-based duplication,YGL261C
YLR463C,DNA-based duplication,YEL075W-A
YEL075W-A,DNA-based duplication,YLR463C
YLR464W,DNA-based duplication,YEL076C-A
YEL076C-A,DNA-based duplication,YLR464W
YLR466W,retroposition,YIL177C
YLR466W,DNA-based duplication like,YLR462W
YLR466W,retroposition,YHL050C
YLR466W,DNA-based duplication,YDR545W
YLR466W,DNA-based duplication,YHR219W
YLR466W,DNA-based duplication,YBL112C
YLR466W,DNA-based duplication,YEL077C
YLR466W,DNA-based duplication,YFL066C
YLR466W,DNA-based duplication,YHR218W-A
YLR466W,retroposition,YLL066C
YLR466W,retroposition,YBL111C
YLR466W,DNA-based duplication,YER190W
YLR466W,retroposition,YML133C
YLR466W,retroposition,YJL225C
YLR466W,DNA-based duplication,YLR467W
YLR466W,retroposition,YPL283C
YLR466W,DNA-based duplication,YPR204W
YLR466W,DNA-based duplication,YBL113C
YLR466W,DNA-based duplication,YOR396W
YLR466W,retroposition,YGR296W
YLR466W,retroposition,YLL067C
YLR466W,retroposition,YNL339C
YLR466W,retroposition,YHR218W
YLR466C-A,DNA-based duplication,YFL068W
YLR466C-A,DNA-based duplication,YHR219C-A
YLR466C-A,DNA-based duplication,YGR296C-B
YLR466C-A,DNA-based duplication,YLL067W-A
YLR466C-A,DNA-based duplication,YJL225W-A
YLR466C-A,DNA-based duplication,YOR396C-A
YLR466C-A,DNA-based duplication,YER190C-B
YLR466C-A,DNA-based duplication,YLR467C-A
YLR466C-A,DNA-based duplication,YDR545C-A
YLR466C-A,DNA-based duplication,YBL113W-A
YLR466C-A,DNA-based duplication,YHL050W-A
YLR466C-A,DNA-based duplication,YML133W-B
YLR466C-A,DNA-based duplication,YPL283W-B
YLR466C-A,DNA-based duplication,YLL066W-A
YLR466C-A,DNA-based duplication,YNL339W-B
YLR466C-A,DNA-based duplication,YEL077W-A
YLR466C-A,DNA-based duplication,YPR204C-A
YLR466C-A,DNA-based duplication,YIL177W-A
YLR466C-B,DNA-based duplication,YLL066W-B
YLL066W-B,DNA-based duplication,YLR466C-B
YLR467W,retroposition,YIL177C
YLR467W,DNA-based duplication like,YLR462W
YLR467W,retroposition,YHL050C
YLR467W,DNA-based duplication,YDR545W
YLR467W,DNA-based duplication,YHR219W
YLR467W,DNA-based duplication,YBL112C
YLR467W,DNA-based duplication,YEL077C
YLR467W,DNA-based duplication,YFL066C
YLR467W,DNA-based duplication,YHR218W-A
YLR467W,retroposition,YLL066C
YLR467W,retroposition,YBL111C
YLR467W,DNA-based duplication,YER190W
YLR467W,retroposition,YML133C
YLR467W,retroposition,YJL225C
YLR467W,retroposition,YPL283C
YLR467W,DNA-based duplication,YPR204W
YLR467W,DNA-based duplication,YBL113C
YLR467W,DNA-based duplication,YLR466W
YLR467W,DNA-based duplication,YOR396W
YLR467W,retroposition,YGR296W
YLR467W,retroposition,YLL067C
YLR467W,retroposition,YNL339C
YLR467W,retroposition,YHR218W
YLR467C-A,DNA-based duplication,YFL068W
YLR467C-A,DNA-based duplication,YHR219C-A
YLR467C-A,DNA-based duplication,YGR296C-B
YLR467C-A,DNA-based duplication,YLR466C-A
YLR467C-A,DNA-based duplication,YLL067W-A
YLR467C-A,DNA-based duplication,YJL225W-A
YLR467C-A,DNA-based duplication,YOR396C-A
YLR467C-A,DNA-based duplication,YER190C-B
YLR467C-A,DNA-based duplication,YDR545C-A
YLR467C-A,DNA-based duplication,YBL113W-A
YLR467C-A,DNA-based duplication,YHL050W-A
YLR467C-A,DNA-based duplication,YML133W-B
YLR467C-A,DNA-based duplication,YPL283W-B
YLR467C-A,DNA-based duplication,YLL066W-A
YLR467C-A,DNA-based duplication,YNL339W-B
YLR467C-A,DNA-based duplication,YEL077W-A
YLR467C-A,DNA-based duplication,YPR204C-A
YLR467C-A,DNA-based duplication,YIL177W-A
YML133C,DNA-based duplication,YIL177C
YML133C,DNA-based duplication like,YLR462W
YML133C,DNA-based duplication,YHL050C
YML133C,DNA-based duplication,YDR545W
YML133C,DNA-based duplication,YHR219W
YML133C,DNA-based duplication,YBL112C
YML133C,DNA-based duplication,YEL077C
YML133C,DNA-based duplication,YFL066C
YML133C,DNA-based duplication,YHR218W-A
YML133C,DNA-based duplication,YLL066C
YML133C,DNA-based duplication,YBL111C
YML133C,DNA-based duplication,YER190W
YML133C,DNA-based duplication,YJL225C
YML133C,DNA-based duplication,YLR467W
YML133C,DNA-based duplication,YPL283C
YML133C,DNA-based duplication,YPR204W
YML133C,DNA-based duplication,YBL113C
YML133C,DNA-based duplication,YLR466W
YML133C,DNA-based duplication,YOR396W
YML133C,DNA-based duplication,YGR296W
YML133C,DNA-based duplication,YLL067C
YML133C,DNA-based duplication,YNL339C
YML133C,DNA-based duplication,YHR218W
YML133W-B,DNA-based duplication,YFL068W
YML133W-B,DNA-based duplication,YHR219C-A
YML133W-B,DNA-based duplication,YGR296C-B
YML133W-B,DNA-based duplication,YLR466C-A
YML133W-B,DNA-based duplication,YLL067W-A
YML133W-B,DNA-based duplication,YJL225W-A
YML133W-B,DNA-based duplication,YOR396C-A
YML133W-B,DNA-based duplication,YER190C-B
YML133W-B,DNA-based duplication,YLR467C-A
YML133W-B,DNA-based duplication,YDR545C-A
YML133W-B,DNA-based duplication,YBL113W-A
YML133W-B,DNA-based duplication,YHL050W-A
YML133W-B,DNA-based duplication,YPL283W-B
YML133W-B,DNA-based duplication,YLL066W-A
YML133W-B,DNA-based duplication,YNL339W-B
YML133W-B,DNA-based duplication,YEL077W-A
YML133W-B,DNA-based duplication,YPR204C-A
YML133W-B,DNA-based duplication,YIL177W-A
YML133W-A,DNA-based duplication,YER190C-A
YML133W-A,DNA-based duplication,YGR296C-A
YML133W-A,DNA-based duplication,YNL339W-A
YML133W-A,DNA-based duplication,YPL283W-A
YML132W,DNA-based duplication,YBR302C
YML132W,DNA-based duplication like,YGL263W
YML132W,DNA-based duplication,YHL048W
YML132W,DNA-based duplication,YJR161C
YML132W,DNA-based duplication,YGR295C
YML132W,DNA-based duplication like,YHL043W
YML132W,DNA-based duplication,YNL336W
YML132W,DNA-based duplication like,YNR075W
YML132W,DNA-based duplication,YFL062W
YML132W,DNA-based duplication like,YHL042W
YML132W,DNA-based duplication,YKL219W
YML132W,DNA-based duplication,YDL248W
YML118W,DNA-based duplication like,YMR285C
YML111W,DNA-based duplication like,YMR275C
YML111W,DNA-based duplication like,YNR068C
YML111W,DNA-based duplication like,YNR069C
YML083C,de novo origination,YML083C
YML058W,de novo origination,YML058W
YBR284W,DNA-based duplication like,YML035C
YBR284W,DNA-based duplication like,YJL070C
YBR293W,DNA-based duplication like,YMR088C
YBR295W,de novo origination,YBR295W
YBR296C,de novo origination,YBR296C
YBR298C,DNA-based duplication,YGR289C
YBR298C,DNA-based duplication,YJR160C
YBR299W,DNA-based duplication,YIL172C
YBR299W,DNA-based duplication,YJL216C
YBR299W,DNA-based duplication,YGR292W
YBR299W,DNA-based duplication,YGR287C
YBR299W,DNA-based duplication,YOL157C
YBR301W,DNA-based duplication,YLR461W
YBR301W,DNA-based duplication,YMR325W
YBR301W,DNA-based duplication,YIR041W
YBR301W,DNA-based duplication,YLR037C
YBR301W,DNA-based duplication,YGR294W
YBR301W,DNA-based duplication,YIL176C
YBR301W,DNA-based duplication,YEL049W
YBR301W,DNA-based duplication,YLL064C
YBR301W,DNA-based duplication,YKL224C
YBR301W,DNA-based duplication,YDR542W
YBR301W,DNA-based duplication like,YJR151C
YBR301W,DNA-based duplication like,YJR150C
YBR301W,DNA-based duplication,YHL046C
YBR301W,DNA-based duplication,YPL282C
YBR301W,DNA-based duplication,YFL020C
YBR301W,DNA-based duplication,YBL108C-A
YBR301W,DNA-based duplication,YLL025W
YBR301W,DNA-based duplication,YAR020C
YBR301W,DNA-based duplication,YJL223C
YBR301W,DNA-based duplication,YCR104W
YBR301W,DNA-based duplication,YNR076W
YBR301W,DNA-based duplication,YOL161C
YBR301W,DNA-based duplication,YOR394W
YBR301W,DNA-based duplication,YAL068C
YBR301W,DNA-based duplication,YGL261C
YBR302C,DNA-based duplication,YDL248W
YBR302C,DNA-based duplication,YML132W
YBR302C,DNA-based duplication,YHL048W
YBR302C,DNA-based duplication,YGR295C
YBR302C,DNA-based duplication like,YHL043W
YBR302C,DNA-based duplication,YJR161C
YBR302C,DNA-based duplication,YNL336W
YBR302C,DNA-based duplication like,YNR075W
YBR302C,DNA-based duplication,YFL062W
YBR302C,DNA-based duplication like,YHL042W
YBR302C,DNA-based duplication,YKL219W
YBR302C,DNA-based duplication like,YGL263W
YCL073C,DNA-based duplication like,YEL065W
YCL073C,DNA-based duplication like,YHL040C
YCL073C,DNA-based duplication like,YOL158C
YCL073C,DNA-based duplication,YKR106W
YCL073C,DNA-based duplication like,YHL047C
YCL069W,DNA-based duplication like,YGR224W
YCL069W,DNA-based duplication,YKR105C
YCL069W,DNA-based duplication like,YPR198W
YCL058W-A,de novo origination,YCL058W-A
YCL051W,DNA-based duplication like,YDR528W
YCL026C-A,DNA-based duplication,YCL026C-B
YDR222W,DNA-based duplication like,YLR225C
YDR222W,DNA-based duplication like,YDR346C
YDR223W,DNA-based duplication like,YLR223C
YDR242W,de novo origination,YDR242W
YLR361C-A,de novo origination,YLR361C-A
YLR373C,DNA-based duplication like,YGR071C
YLR411W,de novo origination,YLR411W
YLR442C,DNA-based duplication like,YML065W
YLR442C,DNA-based duplication like,YJL194W
YOR377W,DNA-based duplication like,YGR177C
YOR378W,DNA-based duplication like,YMR279C
YOR378W,DNA-based duplication like,YML116W
YOR380W,de novo origination,YOR380W
YOR381W,DNA-based duplication,YNR060W
YOR381W,DNA-based duplication like,YOR384W
YOR381W,DNA-based duplication,YKL220C
YOR381W,DNA-based duplication like,YLR214W
YOR381W,DNA-based duplication like,YLL051C
YOR382W,de novo origination,YOR382W
YOR383C,DNA-based duplication like,YDR534C
YDR534C,DNA-based duplication,YOR383C
YOR384W,DNA-based duplication like,YNR060W
YOR384W,DNA-based duplication like,YOR381W
YOR384W,DNA-based duplication like,YKL220C
YOR384W,DNA-based duplication like,YLR214W
YOR384W,DNA-based duplication like,YLL051C
YOR385W,DNA-based duplication like,YMR316W
YOR387C,DNA-based duplication,YGL258W
YOR388C,de novo origination,YOR388C
YOR393W,DNA-based duplication,YGR254W
YOR393W,DNA-based duplication,YMR323W
YOR393W,DNA-based duplication,YHR174W
YOR393W,DNA-based duplication,YPL281C
YOR394W,DNA-based duplication,YLR461W
YOR394W,DNA-based duplication,YMR325W
YOR394W,DNA-based duplication,YIR041W
YOR394W,DNA-based duplication,YLR037C
YOR394W,DNA-based duplication,YGR294W
YOR394W,DNA-based duplication,YIL176C
YOR394W,DNA-based duplication,YEL049W
YOR394W,DNA-based duplication,YLL064C
YOR394W,DNA-based duplication,YKL224C
YOR394W,DNA-based duplication,YDR542W
YOR394W,DNA-based duplication like,YJR151C
YOR394W,DNA-based duplication like,YJR150C
YOR394W,DNA-based duplication,YHL046C
YOR394W,DNA-based duplication,YPL282C
YOR394W,DNA-based duplication,YBR301W
YOR394W,DNA-based duplication,YFL020C
YOR394W,DNA-based duplication,YBL108C-A
YOR394W,DNA-based duplication,YJL223C
YOR394W,DNA-based duplication,YLL025W
