"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"P40328" "OTHER" "1" "YTA6" "S. cerevisiae" "Yeast Tat-binding Analog" "2265" "YPL074W" "S000005995" "ORF"
"P53379" "OTHER" "1" "MKC7" "S. cerevisiae" "Multicopy suppressor of Kex2 Cold sensitivity" "1791" "YDR144C" "S000002551" "ORF"
"P38734" "OTHER" "1" "MUP3" "S. cerevisiae" "Methionine UPtake" "1641" "YHL036W" "S000001028" "ORF"
"Q08199" "OTHER" "1" "SIL1" "S. cerevisiae" "Suppressor of the Ire1/Lhs1 double mutant" "1266" "YOL031C" "S000005391" "ORF"
"Q12253" "OTHER" "1" "" "S. cerevisiae" "" "813" "YLR046C" "S000004036" "ORF"
"Q12056" "OTHER" "1" "ISU2" "S. cerevisiae" "IscU homolog" "471" "YOR226C" "S000005752" "ORF"
"P10592" "OTHER" "1" "SSA2" "S. cerevisiae" "Stress-Seventy subfamily A" "1920" "YLL024C" "S000003947" "ORF"
"P10591" "OTHER" "1" "SSA1" "S. cerevisiae" "Stress-Seventy subfamily A" "1929" "YAL005C" "S000000004" "ORF"
"P47120" "OTHER" "1" "LIA1" "S. cerevisiae" "Ligand of eIF5A" "978" "YJR070C" "S000003831" "ORF"
"P38355" "OTHER" "1" "" "S. cerevisiae" "" "1284" "YBR287W" "S000000491" "ORF"
"P47041" "OTHER" "1" "BIT61" "S. cerevisiae" "Binding partner of Tor2p" "1632" "YJL058C" "S000003594" "ORF"
"P25341" "OTHER" "1" "KIN82" "S. cerevisiae" "protein KINase" "2163" "YCR091W" "S000000687" "ORF"
"Q07395" "OTHER" "1" "SYO1" "S. cerevisiae" "SYnchronized impOrt or SYmpOrtin" "1863" "YDL063C" "S000002221" "ORF"
"P32377" "OTHER" "1" "MVD1" "S. cerevisiae" "MeValonate pyrophosphate Decarboxylase" "1191" "YNR043W" "S000005326" "ORF"
"P04449" "OTHER" "1" "RPL24A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "468" "YGL031C" "S000002999" "ORF"
"Q12157" "OTHER" "1" "APC11" "S. cerevisiae" "Anaphase Promoting Complex" "498" "YDL008W" "S000002166" "ORF"
"Q12218" "OTHER" "1" "TIR4" "S. cerevisiae" "TIp1-Related" "1464" "YOR009W" "S000005535" "ORF"
"P40032" "OTHER" "1" "TPA1" "S. cerevisiae" "Termination and PolyAdenylation" "1935" "YER049W" "S000000851" "ORF"
"Q12743" "OTHER" "1" "DFM1" "S. cerevisiae" "Der1-like Family Member" "1026" "YDR411C" "S000002819" "ORF"
"P53749" "OTHER" "1" "PUL4" "S. cerevisiae" "PULcherrimin" "1824" "YNR063W" "S000005346" "ORF"
"P25443" "OTHER" "1" "RPS2" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "765" "YGL123W" "S000003091" "ORF"
"P38735" "OTHER" "1" "VMR1" "S. cerevisiae" "Vacuolar Multidrug Resistance" "4779" "YHL035C" "S000001027" "ORF"
"Q3E705" "OTHER" "1" "EFG1" "S. cerevisiae" "Exit From G1" "702" "YGR271C-A" "S000007608" "ORF"
"Q03935" "OTHER" "1" "YAP6" "S. cerevisiae" "Yeast homolog of AP-1" "1152" "YDR259C" "S000002667" "ORF"
"P53759" "OTHER" "1" "DUS1" "S. cerevisiae" "DihydroUridine Synthase" "1272" "YML080W" "S000004545" "ORF"
"P40210" "OTHER" "1" "SIP5" "S. cerevisiae" "Snf1 Interacting Protein" "1470" "YMR140W" "S000004748" "ORF"
"Q07622" "OTHER" "1" "ACK1" "S. cerevisiae" "Activator of C Kinase 1" "1872" "YDL203C" "S000002362" "ORF"
"P38356" "OTHER" "1" "BSD2" "S. cerevisiae" "Bypass Sod1p Defects" "966" "YBR290W" "S000000494" "ORF"
"P47040" "OTHER" "1" "YHC3" "S. cerevisiae" "Yeast Homolog of human Cln3" "1227" "YJL059W" "S000003595" "ORF"
"P38736" "OTHER" "1" "GOS1" "S. cerevisiae" "GOlgi Snare" "672" "YHL031C" "S000001023" "ORF"
"P47111" "OTHER" "1" "VPS55" "S. cerevisiae" "Vacuolar Protein Sorting" "423" "YJR044C" "S000003805" "ORF"
"Q03796" "OTHER" "1" "TPP1" "S. cerevisiae" "Three Prime Phosphatase" "717" "YMR156C" "S000004765" "ORF"
"P36224" "OTHER" "1" "JNM1" "S. cerevisiae" "Just Nuclear Migration" "1122" "YMR294W" "S000004908" "ORF"
"Q08920" "OTHER" "1" "CBC2" "S. cerevisiae" "Cap Binding Complex" "627" "YPL178W" "S000006099" "ORF"
"P40033" "OTHER" "1" "RSM18" "S. cerevisiae" "Ribosomal Small subunit of Mitochondria" "417" "YER050C" "S000000852" "ORF"
"P06242" "OTHER" "1" "KIN28" "S. cerevisiae" "protein KINase" "1002" "YDL108W" "S000002266" "ORF"
"O14464" "OTHER" "1" "RTC6" "S. cerevisiae" "Restriction of Telomere Capping" "282" "YPL183W-A" "S000007224" "ORF"
"P48606" "OTHER" "1" "RBL2" "S. cerevisiae" "Rescues Beta-tubulin Lethality" "321" "YOR265W" "S000005791" "ORF"
"P49090" "OTHER" "1" "ASN2" "S. cerevisiae" "ASparagiNe requiring" "1719" "YGR124W" "S000003356" "ORF"
"P53747" "OTHER" "1" "" "S. cerevisiae" "" "660" "YNR061C" "S000005344" "ORF"
"P43572" "OTHER" "1" "EPL1" "S. cerevisiae" "Enhancer of Polycomb Like" "2499" "YFL024C" "S000001870" "ORF"
"Q04689" "OTHER" "1" "AIM32" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "936" "YML050W" "S000004514" "ORF"
"P40030" "OTHER" "1" "ERG28" "S. cerevisiae" "ERGosterol biosynthesis" "447" "YER044C" "S000000846" "ORF"
"Q02206" "OTHER" "1" "RSC4" "S. cerevisiae" "Remodel the Structure of Chromatin" "1878" "YKR008W" "S000001716" "ORF"
"P38067" "OTHER" "1" "UGA2" "S. cerevisiae" "Utilization of GAba" "1494" "YBR006W" "S000000210" "ORF"
"P38737" "OTHER" "1" "ECM29" "S. cerevisiae" "ExtraCellular Mutant" "5607" "YHL030W" "S000001022" "ORF"
"Q03792" "OTHER" "1" "RIM13" "S. cerevisiae" "Regulator of IME2" "2184" "YMR154C" "S000004763" "ORF"
"Q12102" "OTHER" "1" "CFT2" "S. cerevisiae" "Cleavage Factor Two" "2580" "YLR115W" "S000004105" "ORF"
"Q04006" "OTHER" "1" "UPS3" "S. cerevisiae" "UnProceSsed" "540" "YDR185C" "S000002593" "ORF"
"Q12362" "OTHER" "1" "RIB2" "S. cerevisiae" "RIBoflavin biosynthesis" "1776" "YOL066C" "S000005427" "ORF"
"Q12194" "OTHER" "1" "RGL1" "S. cerevisiae" "Rho1 GEF Localizing" "1440" "YPL066W" "S000005987" "ORF"
"P47110" "OTHER" "1" "POL32" "S. cerevisiae" "POLymerase" "1053" "YJR043C" "S000003804" "ORF"
"P16550" "OTHER" "1" "APA1" "S. cerevisiae" "AP4A phosphorylase" "966" "YCL050C" "S000000555" "ORF"
"P33200" "OTHER" "1" "PDR3" "S. cerevisiae" "Pleiotropic Drug Resistance" "2931" "YBL005W" "S000000101" "ORF"
"P20795" "OTHER" "1" "VPS33" "S. cerevisiae" "Vacuolar Protein Sorting" "2076" "YLR396C" "S000004388" "ORF"
"P46673" "OTHER" "1" "NUP85" "S. cerevisiae" "NUclear Pore" "2235" "YJR042W" "S000003803" "ORF"
"P36029" "OTHER" "1" "TPO5" "S. cerevisiae" "Transporter of POlyamines" "1857" "YKL174C" "S000001657" "ORF"
"Q08634" "OTHER" "1" "" "S. cerevisiae" "" "912" "YOR238W" "S000005764" "ORF"
"P25646" "OTHER" "1" "PTC6" "S. cerevisiae" "Phosphatase Two C" "1329" "YCR079W" "S000002133" "ORF"
"P24813" "OTHER" "1" "CAD1" "S. cerevisiae" "CADmium resistance" "1230" "YDR423C" "S000002831" "ORF"
"Q06479" "OTHER" "1" "LUG1" "S. cerevisiae" "Lets [URE3]/ure2 Grow" "2424" "YLR352W" "S000004344" "ORF"
"P36525" "OTHER" "1" "MRPL24" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "777" "YMR193W" "S000004806" "ORF"
"P35195" "OTHER" "1" "ECM15" "S. cerevisiae" "ExtraCellular Mutant" "315" "YBL001C" "S000000097" "ORF"
"P43637" "OTHER" "1" "TOS3" "S. cerevisiae" "Target Of Sbf" "1683" "YGL179C" "S000003147" "ORF"
"P38738" "OTHER" "1" "OCA5" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "2040" "YHL029C" "S000001021" "ORF"
"P48526" "OTHER" "1" "ISM1" "S. cerevisiae" "Isoleucyl tRNA Synthetase of Mitochondria" "3009" "YPL040C" "S000005961" "ORF"
"P14063" "OTHER" "1" "MRPL31" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "396" "YKL138C" "S000001621" "ORF"
"Q08921" "OTHER" "1" "TCO89" "S. cerevisiae" "Tor Complex One" "2400" "YPL180W" "S000006101" "ORF"
"P50084" "OTHER" "1" "BNS1" "S. cerevisiae" "Bypasses Need for Spo12p" "414" "YGR230W" "S000003462" "ORF"
"P43571" "OTHER" "1" "BST1" "S. cerevisiae" "Bypass of Sec Thirteen" "3090" "YFL025C" "S000001869" "ORF"
"Q03012" "OTHER" "1" "SPP1" "S. cerevisiae" "Set1c, Phd finger Protein" "1062" "YPL138C" "S000006059" "ORF"
"P32897" "OTHER" "1" "TIM23" "S. cerevisiae" "Translocase of the Inner Mitochondrial membrane" "669" "YNR017W" "S000005300" "ORF"
"P40031" "OTHER" "1" "SPO73" "S. cerevisiae" "SPOrulation" "432" "YER046W" "S000000848" "ORF"
"Q12206" "OTHER" "1" "WTM2" "S. cerevisiae" "WD repeat containing Transcriptional Modulator" "1404" "YOR229W" "S000005755" "ORF"
"P38972" "OTHER" "1" "ADE6" "S. cerevisiae" "ADEnine requiring" "4077" "YGR061C" "S000003293" "ORF"
"Q12368" "OTHER" "1" "SNU23" "S. cerevisiae" "Small NUclear ribonucleoprotein associated" "585" "YDL098C" "S000002256" "ORF"
"Q99303" "OTHER" "1" "" "S. cerevisiae" "" "" "YDR261W-A" "S000007396" "TransposableElementGene"
"Q08347" "OTHER" "1" "BDS1" "S. cerevisiae" "Bacterially Derived Sulfatase" "1941" "YOL164W" "S000005524" "ORF"
"P08432" "OTHER" "1" "SPE1" "S. cerevisiae" "SPErmidine auxotroph" "1401" "YKL184W" "S000001667" "ORF"
"P34253" "OTHER" "1" "KTI12" "S. cerevisiae" "Kluveromyces lactis Toxin Insensitive" "942" "YKL110C" "S000001593" "ORF"
"P38358" "OTHER" "1" "VBA2" "S. cerevisiae" "Vacuolar Basic Amino acid transporter" "1425" "YBR293W" "S000000497" "ORF"
"P32944" "OTHER" "1" "SWE1" "S. cerevisiae" "Saccharomyces WEe1" "2460" "YJL187C" "S000003723" "ORF"
"Q12512" "OTHER" "1" "ZPS1" "S. cerevisiae" "Zinc- and pH-regulated Surface protein" "750" "YOL154W" "S000005514" "ORF"
"P46654" "OTHER" "1" "RPS0B" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "1118" "YLR048W" "S000004038" "ORF"
"P25348" "OTHER" "1" "MRPL32" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "552" "YCR003W" "S000000596" "ORF"
"P27680" "OTHER" "1" "COQ3" "S. cerevisiae" "COenzyme Q" "939" "YOL096C" "S000005456" "ORF"
"Q12008" "OTHER" "1" "GPM2" "S. cerevisiae" "Glycerate PhosphoMutase" "936" "YDL021W" "S000002179" "ORF"
"P0C2H8" "OTHER" "1" "RPL31A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "763" "YDL075W" "S000002233" "ORF"
"Q02208" "OTHER" "1" "TOF2" "S. cerevisiae" "TOpoisomerase I-interacting Factor" "2316" "YKR010C" "S000001718" "ORF"
"Q02875" "OTHER" "1" "SYH1" "S. cerevisiae" "SmY2 Homolog" "2550" "YPL105C" "S000006026" "ORF"
"Q05809" "OTHER" "1" "COA4" "S. cerevisiae" "Cytochrome Oxidase Assembly factor" "453" "YLR218C" "S000004208" "ORF"
"P38739" "OTHER" "1" "WSC4" "S. cerevisiae" "cell Wall integrity and Stress response Component" "1818" "YHL028W" "S000001020" "ORF"
"P54787" "OTHER" "1" "VPS9" "S. cerevisiae" "Vacuolar Protein Sorting" "1356" "YML097C" "S000004563" "ORF"
"Q12751" "OTHER" "1" "RTP1" "S. cerevisiae" "Required for the nuclear Transport of RNA Pol II" "2946" "YMR185W" "S000004797" "ORF"
"P53746" "OTHER" "1" "FRE4" "S. cerevisiae" "Ferric REductase" "2160" "YNR060W" "S000005343" "ORF"
"P43573" "OTHER" "1" "BUD27" "S. cerevisiae" "BUD site selection" "2391" "YFL023W" "S000001871" "ORF"
"P36526" "OTHER" "1" "MRPL27" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "441" "YBR282W" "S000000486" "ORF"
"P54786" "OTHER" "1" "ZDS2" "S. cerevisiae" "Zillion Different Screens" "2829" "YML109W" "S000004577" "ORF"
"Q04004" "OTHER" "1" "PLP1" "S. cerevisiae" "Phosducin-Like Protein" "693" "YDR183W" "S000002591" "ORF"
"Q06651" "OTHER" "1" "PIB1" "S. cerevisiae" "PtdIns(3)p-Binding" "861" "YDR313C" "S000002721" "ORF"
"Q02804" "OTHER" "1" "ARL3" "S. cerevisiae" "ADP-Ribosylation factor-Like" "597" "YPL051W" "S000005972" "ORF"
"Q03049" "OTHER" "1" "" "S. cerevisiae" "" "1035" "YDR541C" "S000002949" "ORF"
"P38359" "OTHER" "1" "SUL1" "S. cerevisiae" "SULfate" "2580" "YBR294W" "S000000498" "ORF"
"P38064" "OTHER" "1" "MRPL16" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "699" "YBL038W" "S000000134" "ORF"
"Q02207" "OTHER" "1" "FOX2" "S. cerevisiae" "Fatty acid OXidation" "2703" "YKR009C" "S000001717" "ORF"
"P41318" "OTHER" "1" "LST8" "S. cerevisiae" "Lethal with Sec Thirteen" "912" "YNL006W" "S000004951" "ORF"
"P50085" "OTHER" "1" "PHB2" "S. cerevisiae" "ProHiBitin" "933" "YGR231C" "S000003463" "ORF"
"P17076" "OTHER" "1" "RPL8A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "771" "YHL033C" "S000001025" "ORF"
"Q12306" "OTHER" "1" "SMT3" "S. cerevisiae" "Suppressor of Mif Two" "306" "YDR510W" "S000002918" "ORF"
"P22148" "OTHER" "1" "MSN1" "S. cerevisiae" "Multicopy suppressor of SNF1 mutation" "1149" "YOL116W" "S000005476" "ORF"
"P25344" "OTHER" "1" "STE50" "S. cerevisiae" "STErile" "1041" "YCL032W" "S000000537" "ORF"
"P22139" "OTHER" "1" "RPB10" "S. cerevisiae" "RNA Polymerase B" "213" "YOR210W" "S000005736" "ORF"
"Q08923" "OTHER" "1" "CTI6" "S. cerevisiae" "Cyc8-Tup1 Interacting protein" "1521" "YPL181W" "S000006102" "ORF"
"P05316" "OTHER" "1" "FUR4" "S. cerevisiae" "5-FlUoRouridine sensitivity" "1902" "YBR021W" "S000000225" "ORF"
"P25578" "OTHER" "1" "PGS1" "S. cerevisiae" "PhosphatidylGlycerolphosphate Synthase" "1566" "YCL004W" "S000000510" "ORF"
"Q03855" "OTHER" "1" "" "S. cerevisiae" "" "" "YDR098C-B" "S000007391" "TransposableElementGene"
"P50080" "OTHER" "1" "AZR1" "S. cerevisiae" "Acetic Acid and AZoles Resistance" "1842" "YGR224W" "S000003456" "ORF"
"Q08491" "OTHER" "1" "SKI7" "S. cerevisiae" "SuperKIller" "2244" "YOR076C" "S000005602" "ORF"
"P38065" "OTHER" "1" "APL3" "S. cerevisiae" "clathrin Adaptor Protein complex Large chain" "3078" "YBL037W" "S000000133" "ORF"
"P53744" "OTHER" "1" "BIO5" "S. cerevisiae" "BIOtin" "1686" "YNR056C" "S000005339" "ORF"
"P32861" "OTHER" "1" "UGP1" "S. cerevisiae" "UDP-glucose pyrophosphorylase" "1500" "YKL035W" "S000001518" "ORF"
"P53258" "OTHER" "1" "MDR1" "S. cerevisiae" "Mac1-Dependent Regulator" "2853" "YGR100W" "S000003332" "ORF"
"P53322" "OTHER" "1" "TNA1" "S. cerevisiae" "Transporter of Nicotinic Acid" "1605" "YGR260W" "S000003492" "ORF"
"P0CD99" "OTHER" "1" "MPH2" "S. cerevisiae" "Maltose Permease Homolog" "1830" "YDL247W" "S000002406" "ORF"
"P32468" "OTHER" "1" "CDC12" "S. cerevisiae" "Cell Division Cycle" "1224" "YHR107C" "S000001149" "ORF"
"P36173" "OTHER" "1" "GEX2" "S. cerevisiae" "Glutathione EXchanger" "1848" "YKR106W" "S000001814" "ORF"
"P54781" "OTHER" "1" "ERG5" "S. cerevisiae" "ERGosterol biosynthesis" "1617" "YMR015C" "S000004617" "ORF"
"P34252" "OTHER" "1" "SLD2" "S. cerevisiae" "Synthetically Lethal with Dpb11-1" "1362" "YKL108W" "S000001591" "ORF"
"Q08278" "OTHER" "1" "MED7" "S. cerevisiae" "MEDiator complex" "669" "YOL135C" "S000005495" "ORF"
"P39078" "OTHER" "1" "CCT4" "S. cerevisiae" "Chaperonin Containing TCP-1" "1587" "YDL143W" "S000002302" "ORF"
"P32341" "OTHER" "1" "VPH2" "S. cerevisiae" "Vacuolar pH" "648" "YKL119C" "S000001602" "ORF"
"P38066" "OTHER" "1" "RIB1" "S. cerevisiae" "RIBoflavin biosynthesis" "1038" "YBL033C" "S000000129" "ORF"
"P40048" "OTHER" "1" "PTP3" "S. cerevisiae" "Protein Tyrosine Phosphatase" "2787" "YER075C" "S000000877" "ORF"
"P32855" "OTHER" "1" "SEC8" "S. cerevisiae" "SECretory" "3198" "YPR055W" "S000006259" "ORF"
"P38427" "OTHER" "1" "TSL1" "S. cerevisiae" "Trehalose Synthase Long chain" "3297" "YML100W" "S000004566" "ORF"
"P53109" "OTHER" "1" "AIM14" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "1713" "YGL160W" "S000003128" "ORF"
"P39946" "OTHER" "1" "PAC1" "S. cerevisiae" "Perish in the Absence of Cin8p" "1485" "YOR269W" "S000005795" "ORF"
"P32331" "OTHER" "1" "YMC1" "S. cerevisiae" "Yeast Mitochondrial Carrier" "924" "YPR058W" "S000006262" "ORF"
"P15179" "OTHER" "1" "MSD1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)" "1977" "YPL104W" "S000006025" "ORF"
"Q07468" "OTHER" "1" "VAM6" "S. cerevisiae" "VAcuolar Morphogenesis" "3150" "YDL077C" "S000002235" "ORF"
"P53745" "OTHER" "1" "MNT4" "S. cerevisiae" "MaNnosylTransferase" "1743" "YNR059W" "S000005342" "ORF"
"P36172" "OTHER" "1" "VBA5" "S. cerevisiae" "Vacuolar Basic Amino acid transporter" "1749" "YKR105C" "S000001813" "ORF"
"P11632" "OTHER" "1" "NHP6A" "S. cerevisiae" "Non-Histone Protein" "282" "YPR052C" "S000006256" "ORF"
"Q06409" "OTHER" "1" "DCK1" "S. cerevisiae" "DoCK1 homolog" "5799" "YLR422W" "S000004414" "ORF"
"Q03434" "OTHER" "1" "" "S. cerevisiae" "" "" "YML039W" "S000004503" "TransposableElementGene"
"P53259" "OTHER" "1" "PCP1" "S. cerevisiae" "Processing of Cytochrome c Peroxidase" "1041" "YGR101W" "S000003333" "ORF"
"P32860" "OTHER" "1" "NFU1" "S. cerevisiae" "NifU-like protein" "771" "YKL040C" "S000001523" "ORF"
"Q08492" "OTHER" "1" "BUD21" "S. cerevisiae" "BUD site selection" "645" "YOR078W" "S000005604" "ORF"
"P09950" "OTHER" "1" "HEM1" "S. cerevisiae" "HEMe biosynthesis" "1647" "YDR232W" "S000002640" "ORF"
"P20676" "OTHER" "1" "NUP1" "S. cerevisiae" "NUclear Pore" "3231" "YOR098C" "S000005624" "ORF"
"P20438" "OTHER" "1" "CLN2" "S. cerevisiae" "CycLiN" "1638" "YPL256C" "S000006177" "ORF"
"Q07629" "OTHER" "1" "" "S. cerevisiae" "" "954" "YDL218W" "S000002377" "ORF"
"Q08421" "OTHER" "1" "ETT1" "S. cerevisiae" "Enhancer of Translation Termination 1" "1239" "YOR051C" "S000005577" "ORF"
"P53320" "OTHER" "1" "MTM1" "S. cerevisiae" "Manganese Trafficking factor for Mitochondrial SOD2" "1101" "YGR257C" "S000003489" "ORF"
"P09938" "OTHER" "1" "RNR2" "S. cerevisiae" "RiboNucleotide Reductase" "1200" "YJL026W" "S000003563" "ORF"
"P38925" "OTHER" "1" "SMF1" "S. cerevisiae" "Suppressor of Mitochondria import Function" "1728" "YOL122C" "S000005482" "ORF"
"P53968" "OTHER" "1" "CRZ1" "S. cerevisiae" "Calcineurin-Responsive Zinc finger" "2037" "YNL027W" "S000004972" "ORF"
"P23060" "OTHER" "1" "MAK32" "S. cerevisiae" "MAintenance of Killer" "1092" "YCR019W" "S000000612" "ORF"
"P25573" "OTHER" "1" "MGR1" "S. cerevisiae" "Mitochondrial Genome Required" "1254" "YCL044C" "S000000549" "ORF"
"P36516" "OTHER" "1" "MRPL3" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "1173" "YMR024W" "S000004626" "ORF"
"P33300" "OTHER" "1" "SUR1" "S. cerevisiae" "SUppressor of Rvs161 and rvs167 mutations" "1149" "YPL057C" "S000005978" "ORF"
"Q08422" "OTHER" "1" "TMC1" "S. cerevisiae" "Trivalent Metalloid sensitive, Cuz1-related protein" "453" "YOR052C" "S000005578" "ORF"
"P53889" "OTHER" "1" "FMP41" "S. cerevisiae" "Found in Mitochondrial Proteome" "780" "YNL168C" "S000005112" "ORF"
"Q06706" "OTHER" "1" "IKI3" "S. cerevisiae" "Insensitive to KIller toxin" "4050" "YLR384C" "S000004376" "ORF"
"Q05123" "OTHER" "1" "ARP9" "S. cerevisiae" "Actin-Related Protein" "1490" "YMR033W" "S000004636" "ORF"
"Q04322" "OTHER" "1" "GYL1" "S. cerevisiae" "GYp Like" "2163" "YMR192W" "S000004804" "ORF"
"P40963" "OTHER" "1" "SAS2" "S. cerevisiae" "Something About Silencing" "1017" "YMR127C" "S000004734" "ORF"
"P43582" "OTHER" "1" "WWM1" "S. cerevisiae" "WW domain containing protein interacting with Metacaspase" "636" "YFL010C" "S000001884" "ORF"
"P53257" "OTHER" "1" "TPC1" "S. cerevisiae" "Thiamine Pyrophosphate Carrier" "945" "YGR096W" "S000003328" "ORF"
"P53969" "OTHER" "1" "SAM50" "S. cerevisiae" "Sorting and Assembly Machinery" "1455" "YNL026W" "S000004971" "ORF"
"P19262" "OTHER" "1" "KGD2" "S. cerevisiae" "alpha-KetoGlutarate Dehydrogenase" "1392" "YDR148C" "S000002555" "ORF"
"Q02950" "OTHER" "1" "MRP51" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "1035" "YPL118W" "S000006039" "ORF"
"Q03940" "OTHER" "1" "RVB1" "S. cerevisiae" "RuVB-like" "1392" "YDR190C" "S000002598" "ORF"
"P07991" "OTHER" "1" "CAR2" "S. cerevisiae" "Catabolism of ARginine" "1275" "YLR438W" "S000004430" "ORF"
"Q04383" "OTHER" "1" "PLM2" "S. cerevisiae" "PLasmid Maintenance" "1566" "YDR501W" "S000002909" "ORF"
"P53743" "OTHER" "1" "ESF2" "S. cerevisiae" "Eighteen S rRNA Factor 2" "951" "YNR054C" "S000005337" "ORF"
"P41057" "OTHER" "1" "RPS29A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "171" "YLR388W" "S000004380" "ORF"
"P53107" "OTHER" "1" "YRB30" "S. cerevisiae" "Yeast Ran Binder" "1323" "YGL164C" "S000003132" "ORF"
"Q06705" "OTHER" "1" "CSR1" "S. cerevisiae" "Chs5 Spa2 Rescue" "1227" "YLR380W" "S000004372" "ORF"
"P05453" "OTHER" "1" "SUP35" "S. cerevisiae" "SUPpressor" "2058" "YDR172W" "S000002579" "ORF"
"Q07540" "OTHER" "1" "YFH1" "S. cerevisiae" "Yeast Frataxin Homolog" "525" "YDL120W" "S000002278" "ORF"
"P50082" "OTHER" "1" "AMA1" "S. cerevisiae" "Activator of Meiotic APC/C" "1875" "YGR225W" "S000003457" "ORF"
"P54070" "OTHER" "1" "KTR6" "S. cerevisiae" "Kre Two Related" "1341" "YPL053C" "S000005974" "ORF"
"Q06247" "OTHER" "1" "TAG1" "S. cerevisiae" "Termination of AutophaGy" "1827" "YLR173W" "S000004163" "ORF"
"P25351" "OTHER" "1" "" "S. cerevisiae" "" "1836" "YCR023C" "S000000617" "ORF"
"P34251" "OTHER" "1" "" "S. cerevisiae" "" "930" "YKL107W" "S000001590" "ORF"
"Q01163" "OTHER" "1" "RSM23" "S. cerevisiae" "Ribosomal Small subunit of Mitochondria" "1353" "YGL129C" "S000003097" "ORF"
"P15202" "OTHER" "1" "CTA1" "S. cerevisiae" "CaTalase A" "1548" "YDR256C" "S000002664" "ORF"
"Q07953" "OTHER" "1" "SDO1" "S. cerevisiae" "" "753" "YLR022C" "S000004012" "ORF"
"P40302" "OTHER" "1" "PRE5" "S. cerevisiae" "PRoteinase yscE" "705" "YMR314W" "S000004931" "ORF"
"P80210" "OTHER" "1" "ADE12" "S. cerevisiae" "ADEnine requiring" "1302" "YNL220W" "S000005164" "ORF"
"P53108" "OTHER" "1" "YIP5" "S. cerevisiae" "Ypt-Interacting Protein" "933" "YGL161C" "S000003129" "ORF"
"P25574" "OTHER" "1" "EMC1" "S. cerevisiae" "ER Membrane protein Complex" "2283" "YCL045C" "S000000550" "ORF"
"P32862" "OTHER" "1" "RGT1" "S. cerevisiae" "Restores Glucose Transport" "3513" "YKL038W" "S000001521" "ORF"
"Q03799" "OTHER" "1" "MRPS8" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Small subunit" "468" "YMR158W" "S000004767" "ORF"
"Q02326" "OTHER" "1" "RPL6A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "946" "YML073C" "S000004538" "ORF"
"P53966" "OTHER" "1" "KTR5" "S. cerevisiae" "Kre Two Related" "1569" "YNL029C" "S000004974" "ORF"
"P41807" "OTHER" "1" "VMA13" "S. cerevisiae" "Vacuolar Membrane Atpase" "1437" "YPR036W" "S000006240" "ORF"
"P32471" "OTHER" "1" "EFB1" "S. cerevisiae" "Elongation Factor Beta" "987" "YAL003W" "S000000003" "ORF"
"P53255" "OTHER" "1" "DRN1" "S. cerevisiae" "Debranching enzyme-associated RiboNuclease" "1524" "YGR093W" "S000003325" "ORF"
"P07281" "OTHER" "1" "RPS19B" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "986" "YNL302C" "S000005246" "ORF"
"P53741" "OTHER" "1" "BRE5" "S. cerevisiae" "BREfeldin A sensitivity" "1548" "YNR051C" "S000005334" "ORF"
"P39743" "OTHER" "1" "RVS167" "S. cerevisiae" "Reduced Viability on Starvation" "1449" "YDR388W" "S000002796" "ORF"
"P21304" "OTHER" "1" "PWP1" "S. cerevisiae" "Periodic tryptophan (W) Protein" "1731" "YLR196W" "S000004186" "ORF"
"Q12247" "OTHER" "1" "FYV7" "S. cerevisiae" "Function required for Yeast Viability" "456" "YLR068W" "S000004058" "ORF"
"P53337" "OTHER" "1" "ERV29" "S. cerevisiae" "ER Vesicle" "933" "YGR284C" "S000003516" "ORF"
"P49167" "OTHER" "1" "RPL38" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "237" "YLR325C" "S000004317" "ORF"
"Q03784" "OTHER" "1" "TRS23" "S. cerevisiae" "TRapp Subunit" "660" "YDR246W" "S000002654" "ORF"
"Q03730" "OTHER" "1" "" "S. cerevisiae" "" "1182" "YML018C" "S000004480" "ORF"
